gm_name,n_grams,counts,percent
,доска пола,6,0.1072769533345253
,ду ру,6,0.1072769533345253
,дуб английский,5,0.08939746111210442
,дуб беленый,3,0.05363847666726265
,дуб лионский,6,0.1072769533345253
,дуб мореный,5,0.08939746111210442
,дуб престиж,5,0.08939746111210442
,дуб сонома,2,0.03575898444484177
,дуб шато,5,0.08939746111210442
,дымоход гофрированный,7,0.1251564455569462
,дымоход крепеж,3,0.05363847666726265
,дымоход моно,5,0.08939746111210442
,дымоход сэндвич,6,0.1072769533345253
,дюбелем ru,2,0.03575898444484177
,дюбель stinger,9,0.16091543000178796
,дюбель бандажа,2,0.03575898444484177
,евро латексная,2,0.03575898444484177
,евроцилиндр francco,3,0.05363847666726265
,евроцилиндр riccardi,10,0.17879492222420884
,ет круглая,3,0.05363847666726265
,желто зеленый,2,0.03575898444484177
,заглушка rico,10,0.17879492222420884
,заглушка резьбовая,3,0.05363847666726265
,задвижка обрезиненным,3,0.05363847666726265
,зажим герметичный,4,0.07151796888968354
,зажимов бзд,2,0.03575898444484177
,заказных обоев,9,0.16091543000178796
,закрытого типа,2,0.03575898444484177
,замок wc,3,0.05363847666726265
,замок врезной,5,0.08939746111210442
,замок магнитный,2,0.03575898444484177
,запорный asv,2,0.03575898444484177
,затирка baumit,11,0.19667441444662973
,затирка плитки,17,0.303951367781155
,защелка магнитная,3,0.05363847666726265
,защёлка магнитная,3,0.05363847666726265
,згоп sliw,2,0.03575898444484177
,згоп рознич,2,0.03575898444484177
,зернистости ммх,2,0.03575898444484177
,зиплок гриппер,2,0.03575898444484177
,золотник miraya,2,0.03575898444484177
,золото полированное,3,0.05363847666726265
,зубр профессионал,2,0.03575898444484177
,зубр эксперт,2,0.03575898444484177
,изделия готовые,2,0.03575898444484177
,измерительных ниппелей,2,0.03575898444484177
,изобокс экстралайт,2,0.03575898444484177
,изолон ппэ,2,0.03575898444484177
,имитация бруса,2,0.03575898444484177
,инструмент uniclic,2,0.03575898444484177
,инструмент моцарт,2,0.03575898444484177
,инструмент ролик,2,0.03575898444484177
,интерьерная tikkurila,2,0.03575898444484177
,интерьерная моющаяся,2,0.03575898444484177
,искусственный камень,8,0.14303593777936707
,йорк серый,2,0.03575898444484177
,кабель ввг,3,0.05363847666726265
,кабель кгтп,2,0.03575898444484177
,камень гладкий,4,0.07151796888968354
,камень фактурный,4,0.07151796888968354
,канализационная fora,5,0.08939746111210442
,канализационная tebo,6,0.1072769533345253
,канализационное отводом,2,0.03575898444484177
,каон гост,2,0.03575898444484177
,картон асбестовый,2,0.03575898444484177
,картридж мл,2,0.03575898444484177
,каталог cristina,2,0.03575898444484177
,каталог zambaity,3,0.05363847666726265
,каталог заказных,9,0.16091543000178796
,каучук ip,5,0.08939746111210442
