gm_name,gm_alt_name,gm_synonyms,counts
Концовка для МП труб,КОНЦОВКА ДЛЯ МП ТРУБ,"ЕВРОКОНУС,ПЕРЕХОД НА КОЛЛЕКТОР,КОНЦОВКА ДЛЯ МЕТАЛЛОПЛАСТИКА",6
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБЕРОИД,РУБИРОИТ,РУБИРОЙД,РУБЕРОИТ,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУБИРОИД,РУЛОНКА,КРОВЛЯ РУЛОННАЯ",1
стенка задняя перфорированная для пристенной полки,СТЕНКА ЗАДНЯЯ ПЕРФОРИРОВАННАЯ ДЛЯ ПРИСТЕННОЙ ПОЛКИ,,3
Рубанок электрический,РУБАНКИ ЭЛЕКТРИЧЕСКИЕ,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,РУБАНОК, ЭЛЕКТРОИНСТРУМЕНТЫ,HE,FYJR",3
Пленки полиэтиленовые,ПЛЕНКИ ПОЛИЭТИЛЕНОВЫЕ,"ЦЕЛОФА,ПЛЕНКА ПЭ,ПЛЕНКА П/Э,ЦЕЛОФАН",1
Напильники,НАПИЛЬНИК,"РАШПИЛЬ,НАДФИЛЬ",61
Зажимные клещи,ЗАЖИМНЫЕ КЛЕЩИ,"ЗАЖИМ РУЧНОЙ, ЗАЖИМ",10
Дверка для печи,ДВЕРКА ДЛЯ ПЕЧИ,,9
Фены строительные,ФЕНЫ СТРОИТЕЛЬНЫЕ,"ПРОМЫШЛЕННЫЙ ФЕН,NTHVJGBCNJKTN,ТЕРМОПИСТОЛЕТ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS",2
Дверные ограничители,ОГРАНИЧИТЕЛЬ ДВЕРИ,"ОГРАНИЧИТЕЛЬ ОТКРЫВАНИЯ ДВЕРИ,ОГРАНИЧИТЕЛЬ ХОДА ДВЕРИ,СТОПОР,УПОР ДВЕРНОЙ,ФИКСАТОР ДВЕРИ,ДВЕРНОЙ КЛИН",11
Планка соединительная,ПЛАНКА СОЕДИНИТЕЛЬНАЯ,"СТЫКОВОЧНЫЙ ПРОФИЛЬ,H-ПРОФИЛЬ,СТЫКОВОЧНАЯ ПЛАНКА",17
Гипсокартон,ГИПСОКАРТОННЫЙ ЛИСТ,"UBGCJRFHNJY,UBGHJR,ГИПРОК,12,5ММ,ГИПСОПЛИТА,ГКЛ,ГКЛВ,ГКЛВО,ГКЛО,ГИПСАКАРТОН,ПЕРЕГОРОДКА,ПОТОЛОЧНЫЙ,ПОДВЕСНОЙ,ПОТОЛОК",8
Электрические краскопульты,ЭЛЕКТРИЧЕСКИЙ КРАСКОПУЛЬТ,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYNS,ЭЛЕКТРОИНСТРУМЕНТ,RHFCRJGEKMN,КРАСКОРАСПЫЛИТЕЛЬ,КРАСКОПУЛЬТ",1
Доска сухая,ДОСКА СУХАЯ,"LJCRF,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛ,ДОСКА СУХАЯ",15
Полипропиленовые угольники,ПОЛИПРОПИЛЕНОВЫЕ УГОЛЬНИКИ,"ПОЛИПРОПИЛЕНОВЫЙ ОТВОД,ПОЛИПРОПИЛЕНОВЫЙ УГОЛ,ПП КОЛЕНО,ПП ОТВОД,ПП УГОЛ,ПП УГОЛЬНИКИ,ВОДОРОЗЕТКА ПП,ПОЛИПРОПИЛЕНОВОЕ КОЛЕНО",10
Стальные отводы,СТАЛЬНЫЕ ОТВОДЫ,"КОЛЕНО,УГОЛ,УГОЛЬНИК",56
Геотекстиль,ГЕОТЕКСТИЛЬ,"UTJNRFYM,ГЕОТЕКСТИЛЬ,UTJNTRCNBKM,ГЕОТКАНЬ",5
Краска,КРАСКА,"АКРИЛОВАЯ КРАСКА,ВОДОЭМУЛЬСИОННАЯ,КРАСКА ВОДНОДИСПЕРСИОННАЯ,КРАСКА ВД,ВОДОЭМУЛЬСИОНКА",4
Ремкомплект для ванны,РЕМКОМПЛЕКТ ДЛЯ ВАННЫ,,2
Гирлянды-занавеси,СВЕТОДИОДНАЯ ГИРЛЯНДА-ЗАНАВЕС,"ПОД КРЫШУ,ОКОННЫЕ,НА ОКНО,НА КРЫШУ,НА ДВЕРЬ,НА ВИТРИНУ,ВИТРИННЫЕ,ВОДОПАД",1
Пульт управления для котла,ПУЛЬТ УПРАВЛЕНИЯ ДЛЯ КОТЛА,,29
пояс монтажный,ПОЯС МОНТАЖНЫЙ,"СТРАХОВОЧНЫЙ,ПРЕДОХРАНИТЕЛЬНЫЙ",2
Угол для ПНД труб,УГОЛ ДЛЯ ПНД ТРУБ,"ОТВОД ДЛЯ ПНД ТРУБ,УГОЛЬНИК ДЛЯ ПНД,КОЛЕНО ДЛЯ ПНД,УГОЛЬНИК ПОЛИПРОПИЛЕНОВЫЙ,УГОЛ ДЛЯ ПНД",6
