gm_name,gm_alt_name,gm_synonyms,counts
Рулонная гидроизоляция,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,"РУБИРОИТ,РУБИРОЙД,ГИДРОИЗОЛЯЦИОННАЯ ПЛЕНКА,КРОВЛЯ РУЛОННАЯ,РУЛОНКА,РУЛОННАЯ ГИДРОИЗОЛЯЦИЯ,РУБЕРОИД,РУБЕРОИТ,РУБИРОИД",2
Перфораторы,ЭЛЕКТРИЧЕСКИЙ ПЕРФОРАТОР,"KTRNHJBYCNHEVTYN,ПЕРФОРАТОР,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS",3
поддон,ПОДДОН,,6
светофильтр,СВЕТОФИЛЬТР,,1
Курвиметры,КУРВИМЕТРЫ,"KTRNHJBYCNHEVTYNS,REHDBVTNH,REHDBVTNHS,KTRNHJBYCNHEVTYN,КУРВИМЕТР,КУРВИМЕТРЫ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ",2
Комбинезоны защитные,КОМБИНЕЗОН ЗАЩИТНЫЙ,"СПЕЦОДЕЖДА,ОДЕЖДА",3
Потолки Грильято,ПОТОЛКИ ГРИЛЬЯТО,"GJNJKRB UHBKMZNJ,ГРИЛЬЯТО,UHBKMZNJ ПОТОЛКИ ГРИЛЬЯТО",10
Ремонтные составы,РЕМОНТНЫЙ СОСТАВ,"РЕМОНТНАЯ СМЕСЬ,РЕМСОСТАВ,РЕМСМЕСЬ",32
лом пожарный,ЛОМ ПОЖАРНЫЙ,,1
Серпянки,СЕРПЯНКА,"ЛЕНТА СТРОИТЕЛЬНАЯ СЕТЧАТАЯ,САМОКЛЕЮЩАЯСЯ СЕТКА,СЕРПЯНКА,СТРОБИ",3
Плащи-дождевики,ПЛАЩ-ДОЖДЕВИК,"ОДЕЖДА,СПЕЦОДЕЖДА,ПЛАЩ,ДОЖДЕВИК",1
Люк колодезный,ЛЮК КОЛОДЕЗНЫЙ,"ЛЮК КОЛОДЦА,КРЫШКА КОЛОДЦА,RHSIRF RJKJLWF,ЛЮК ОЛОДЦА",2
Гибкая подводка для газа,ГИБКАЯ ПОДВОДКА ДЛЯ ГАЗА,"СИЛЬФОННЫЙ ШЛАНГ,ГАЗОВЫЙ ШЛАНГ,ПОДВОДКА,ГАЗОВАЯ ПОДВОДКА",1
Люк ревизионный,ЛЮК РЕВИЗИОННЫЙ,"ЛЮК САНТЕХНИЧЕСКИЙ,ЛЮЧОК,СЕРВИСНЫЙ,ТЕХНОЛОГИЧЕСКИЙ,ЛЮЧЕК,ЛЮК РЕВИЗИИ,ЛЮЧОК,ЛЮК ДОСТУПА",7
Электрические дисковые пилы,ЭЛЕКТРИЧЕСКАЯ ДИСКОВАЯ ПИЛА,"KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТУРМЕНТ,KTRNHJBYCNHEVTYNS,ДИСКОВАЯ ПИЛА,ЭЛЕКТРОИНСТРУМЕНТЫ,ЦИРКУЛЯРНАЯ,ЦИРКУЛЯРКА",1
Брусок сухой,БРУСОК СУХОЙ,"БРУС,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ БРУС,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,РЕЙКА,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,БРУСОК",6
Просекатели,ПРОСЕКАТЕЛЬ,,5
Заглушка под конфирмат,ЗАГЛУШКА ПОД КОНФИРМАТ,"ЗАГЛУШКА ПОД САМОРЕЗ,ЗАГЛУШКА ПОД МЕБЕЛЬНЫЙ ШУРУП,МЕБЕЛЬНАЯ ЗАГЛУШКА",5
Аккумуляторные гайковерты,АККУМУЛЯТОРНЫЙ ГАЙКОВЕРТ,"ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS,UFQRJDTHN,ЭЛЕКТРОИНСТРУМЕНТ,ГАЙКОВЕРТ",1
Профили для монтажа гибкого неона,ПРОФИЛИ ДЛЯ МОНТАЖА ГИБКОГО НЕОНА,,1
Пробка для сифона,ПРОБКА ДЛЯ СИФОНА,"ДЕКОРАТИВНАЯ КРЫШКА ДЛЯ СИФОНА,ПРОБКА ДЛЯ СИФОНА",3
Дымоход двустенный (сэндвич),ДЫМОХОД ДВУСТЕННЫЙ (СЭНДВИЧ),,20
Коронка,КОРОНКА,"КОРОНКА ПО ПЛИТКЕ,КОРОНКА ПО МЕТАЛЛУ,КОРОНКА,КОРОНКА ПО КИРПИЧУ,КОРОНКА ПО КАФЕЛЮ И СТЕКЛУ,КОРОНКА ПО БЕТОНУ, КОРОНКА ПО КАМНЮ",1
Люк ревизионный,ЛЮК РЕВИЗИОННЫЙ,"ЛЮК РЕВИЗИИ,ЛЮК САНТЕХНИЧЕСКИЙ,ЛЮЧОК,СЕРВИСНЫЙ,ЛЮК ДОСТУПА,ТЕХНОЛОГИЧЕСКИЙ,ЛЮЧЕК,ЛЮЧОК",1
Щебень,ЩЕБЕНЬ,"ЩЕБЕНЬ,ЦЕБЕНЬ,OT,TYM",18
Брус обрезной,БРУС ОБРЕЗНОЙ,",HEC,БРУС,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛ,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,БРУС ОБРЕЗНОЙ",1
Доска обрезная,ДОСКА ОБРЕЗНАЯ,"ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛЫ,LJCRF,ППИЛОМАТЕРИАЛЫ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ,ДОСКА ОБРЕЗНАЯ,ДОСКА",2
вода питьевая,ВОДА ПИТЬЕВАЯ,,1
Ключи шестигранные,КЛЮЧ ШЕСТИГРАННЫЙ,"ШЕСТИГРАНИК,ШЕСТИГРАННИК,ИМБУСОВЫЙ",20
комплект белья,КОМПЛЕКТ БЕЛЬЯ,,1
Люк ревизионный,ЛЮК РЕВИЗИОННЫЙ,"ЛЮК РЕВИЗИИ,ЛЮК САНТЕХНИЧЕСКИЙ,ЛЮЧОК,СЕРВИСНЫЙ,ТЕХНОЛОГИЧЕСКИЙ,ЛЮЧЕК,ЛЮК ДОСТУПА,ЛЮЧОК",2
Штакетник деревянный,ШТАКЕТНИК ДЕРЕВЯННЫЙ,"ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПЕРИЛА,ШТАКЕТНИК,ОГРАДА,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ",1
вставка доборная к шаровому крану,ВСТАВКА ДОБОРНАЯ К ШАРОВОМУ КРАНУ,,3
Гипсоволокнистый лист,ГИПСОВОЛОКНИСТЫЙ ЛИСТ,"ГВЛ,ГВЛВ,ЭЛЕМЕНТ ПОЛА,ГИПСОВОЛОКНО,КНАУФ СУПЕРПОЛ,КНАУФ СУПЕРЛИСТ",1
Услуга Оверлок,УСЛУГА ОВЕРЛОК,,14
предохранительный штекер,ПРЕДОХРАНИТЕЛЬНЫЙ ШТЕКЕР,,1
Лобзики,ЭЛЕКТРИЧЕСКИЙ ЛОБЗИК,"ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОЛОБЗИК,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,KTRNHJKJ,PBR",1
Панель стеновая,ПАНЕЛЬ СТЕНОВАЯ,"ПЛАСТИКОВАЯ ПАНЕЛЬ,ПАНЕЛЬ П-25,П25,СТЕНОВАЯ ПАНЕЛЬ,П-25",24
Профнастил,ПРОФНАСТИЛ,"ПРОФНОСТИЛ,ЗАБОР,ПРОФЛИСТ,ПРОФИЛИРОВАННЫЙ НАСТИЛ,ПРОФИЛИРОВАННЫЙ ЛИСТ",20
Экструдированный пенополистирол (XPS),ЭКСТРУДИРОВАННЫЙ ПЕНОПОЛИСТИРОЛ XPS,"ЭКСТРУД,ЭКСТРУЗИОННЫЙ ПЕНОПОЛИСТИРОЛ,ТЕПЛОИЗОЛЯЦИОННАЯ ПЛИТА,ПЕНОПОЛИСТИРОЛ,ПЕНОПОЛИСТЕРОЛ,ПЕНОПЛАСТ,КАРБОН,ЭКСТРУЗИЯ",1
Полотна для ножовок,ПОЛОТНО ДЛЯ НОЖОВКИ,,15
Латунные тройники,ЛАТУННЫЕ ТРОЙНИКИ,,62
Стержни-удлинители,СТЕРЖЕНЬ-УДЛИНИТЕЛЬ,,14
Влаговпитывающие дорожки,ДОРОЖКИ ВЛАГОВПИТЫВАЮЩИЕ,"РУЛОННОЕ ПОКРЫТИЕ,ПРИДВЕРНЫЙ,ДОРОЖКА,КОВРИК ВЛАГОВПИТЫВАЮЩИЙ,ГРЯЗЕЗАЩИТА",47
Электрические дисковые пилы,ЭЛЕКТРИЧЕСКАЯ ДИСКОВАЯ ПИЛА,"ЦИРКУЛЯРКА,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ДИСКОВАЯ ПИЛА,ЭЛЕКТРОИНСТУРМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,ЦИРКУЛЯРНАЯ",1
Межвенцовый утеплитель,МЕЖВЕНЦОВЫЙ УТЕПЛИТЕЛЬ,"УТЕПЛИТЕЛЬ ДЛЯ БРУСА,ПАКЛЯ,ЛЬНОВАТИН,ДЖУТОВЫЙ УТЕПЛИТЕЛЬ,ДЖУТ,ВОЙЛОК",1
Доска профильная,ДОСКА ПРОФИЛЬНАЯ,"ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ДОСКА",4
Смесители для кухни,СМЕСИТЕЛИ ДЛЯ КУХНИ,"СМЕСИТЕЛЬ ДЛЯ МОЙКИ,ЕЛОЧКА,КРАН",52
Угольники Push-fit,УГОЛЬНИКИ PUSH-FIT,"УГОЛ,УГОЛЬНИК ПУШ ФИТ,УГОЛЬНИК ПЕРЕХОДНОЙ",3
Цементно-песчаные смеси,ЦЕМЕНТНО-ПЕСЧАНАЯ СМЕСЬ,"ПЕСЧАНАЯ СМЕСЬ,ПЕСКОБЕТОН,WTVTYNYJGTCXFYFZ,WTVTYNYJ-GTCXFYST,СУХАЯ ЦЕМЕНТНАЯ СМЕСЬ,ЦЕМЕНТНОПЕСЧАНАЯ СМЕСЬ,ЦПС,ЦПС СТЯЖКА",1
Люк ревизионный,ЛЮК РЕВИЗИОННЫЙ,"ЛЮЧОК,ЛЮЧЕК,ЛЮК ДОСТУПА,ТЕХНОЛОГИЧЕСКИЙ,СЕРВИСНЫЙ,ЛЮЧОК,ЛЮК РЕВИЗИИ,ЛЮК САНТЕХНИЧЕСКИЙ",3
Ветошь,ВЕТОШЬ,"ТРЯПКА,ТРЯПКА ПОЛОВАЯ",1
Бочата,БОЧОНОК,БОЧАТА,16
Аксессуары для труб ЖБИ,АКСЕССУАРЫ ДЛЯ ТРУБ ЖБИ,,13
Плитка ПВХ,ПЛИТКА ПВХ,"ПЛИТКА ПВХ,АРТ ВИНИЛ,ART VINYL,ВИНИЛОВЫЙ ЛАМИНАТ,КВАРЦВИНИЛ,ПВХ ПЛИТКА",1
Узел насосно-смесительный,УЗЕЛ НАСОСНО-СМЕСИТЕЛЬНЫЙ,,25
Доска обрезная,ДОСКА ОБРЕЗНАЯ,"ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ,ДОСКА ОБРЕЗНАЯ,ДОСКА,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,LJCRF",73
натяжное устройство,НАТЯЖНОЕ УСТРОЙСТВО,,1
Порожки,ПОРОЖКИ,"ПОРОГ-УГОЛ,ПРОФИЛЬ,ПОРОЖЕК,ПОРОГ,ПОРОГ-СТЫК",6
Ленточные шлифмашины,ШЛИФМАШИНЫ ЛЕНТОЧНЫЕ,"ШЛИФМАШИНЫ,ЭЛЕКТРОИНСТРУМЕНТЫ,ЛШМ,ЭЛЕКТРОИНСТРУМЕНТ,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN",2
Душевые уголки и двери,ДУШЕВЫЕ УГОЛКИ И ДВЕРИ,"ДУШЕВЫЕ ОГРАЖДЕНИЯ,ДУШЕВЫЕ КАБИНЫ,ДУШЕВЫЕ ДВЕРИ",14
Цементно-песчаные смеси,ЦЕМЕНТНО-ПЕСЧАНАЯ СМЕСЬ,"ЦЕМЕНТНОПЕСЧАНАЯ СМЕСЬ,ЦПС,ЦПС СТЯЖКА,СУХАЯ ЦЕМЕНТНАЯ СМЕСЬ,ПЕСЧАНАЯ СМЕСЬ,ПЕСКОБЕТОН,WTVTYNYJGTCXFYFZ,WTVTYNYJ-GTCXFYST",2
Площадки под хомут,ПЛОЩАДКА ПОД ХОМУТ САМОКЛЕЯЩАЯСЯ,МОНТАЖНЫЕ ПЛОЩАДКИ,3
Бензопилы,ПИЛА ЦЕПНАЯ БЕНЗИНОВАЯ,"KTRNHJBYCNHEVTYN,БЕНЗИНОВАЯ ПИЛА,ЭЛЕКТРОИНСТРУМЕНТЫ,БЕНЗОПИЛА,ЭЛЕКТРОИНСТРУМЕНТ,,TYPJGBKF,GBKF WTGYFZ,ПИЛА ЦЕПНАЯ",1
Сервопривод,СЕРВОПРИВОД,,3
Сетка сварная,СЕТКА СВАРНАЯ,"СЕТКА КАРТА,СЕТКА ИЗ ПРОВОЛОКИ,СЕТКА РУЛОН,СЕТКА АРМАТУРНАЯ,СЕТКА МЕТАЛЛИЧЕСКАЯ,КЛАДОЧНАЯ СЕТКА,СЕТКА ДОРОЖНАЯ",2
Трубы профильные,ТРУБЫ ПРОФИЛЬНЫЕ,"VTNFKKJGHJRFN,NHE,F GHJABKMYFZ,ТРУБА ПРОФИЛЬНАЯ,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ",2
Поленницы,ПОЛЕННИЦЫ,,3
Полоса,ПОЛОСА,"VTNFKKJGHJRFN,МЕТАЛЛИЧЕСКАЯ ПОЛОСА,МЕТАЛОПРОКАТ,ПЕРЕМЫЧКА,ПОЛОСА,ПОЛОСА МЕТАЛЛ,МЕТАЛЛ ПОЛОСА,МЕТАЛЛОПРОКАТ",1
Мишура,МИШУРА,,13
Строительные сетки,СТРОИТЕЛЬНЫЕ СЕТКИ,"СЕТКА МАЛЯРНАЯ,СЕТКА ФАСАДНАЯ,СЕТКА ШТУКАТУРНАЯ,СТЕКЛОСЕТКА,СЕТКА СТЕКЛОТКАНЕВАЯ,СЕТКА СТЕКЛЯННАЯ",13
Нивелиры лазерные,НИВЕЛИРЫ ЛАЗЕРНЫЕ,"KFPTHYSQ EHJDTYM,ЛАЗЕРНЫЙ УРОВЕНЬ,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,ЛАЗЕРНЫЙ УКЛОНОМЕР,KTRNHJBYCNHEVTYN,KTRNHJBYCNHEVTYNS",1
Кабелерезы,КАБЕЛЕРЕЗ,"РЕЗАК,НОЖНИЦЫ СЕКТОРНЫЕ,НОЖНИЦЫ ДЛЯ КАБЕЛЯ,КАБЕЛЕРЕЗ",1
Пена монтажная,ПЕНА МОНТАЖНАЯ,"GTYF,ПЕНА МОНЬАЖНАЯ,ПЕНА МАНТАЖНАЯ,PENA MONTAJNAY,МОНТАЖ,МОНТАЖКА,VJYNF,МОНТАЖНАЯПЕНА,БАЛЛОН ПЕНЫ,МОНТА,ПЕНА,ПЕНА МОНТ",1
Пленочный теплый пол,ИНФРАКРАСНЫЙ ПЛЕНОЧНЫЙ ПОЛ,"ТЕПЛЫЙ ПОЛ,ИНФРАКРАСНЫЙ ПОЛ,ПОЛ С ПОДОГРЕВОМ,НАГРЕВАТЕЛЬНЫЙ МАТ,ПЕНОЧНЫЙ ПОЛ,ИНФРАКРАСНЫЙ ПОЛ,ПЛЕНОЧНЫЙ ПОЛ,ПОДОГРЕВ ПОЛА",1
Карниз фасадный,КАРНИЗ ФАСАДНЫЙ,,2
Верхний душ,ВЕРХНИЙ ДУШ,"НАСАДКА ДУШЕВАЯ ЛЕЙКА,ТАРЕЛКА,ТРОПИЧЕСКИЙ ДУШ,ТРОПИЧЕСКИЙ ДОЖДЬ",9
Трубы ПВХ жесткие,ТРУБА ПВХ ЖЕСТКАЯ,,24
Шпаклевки,ШПАКЛЕВКА,"IGFRKTDRF,IGFNKTDRF,ШПАТЛЕВАНИЕ,ШПАТЛЕВКА,ЗАМАЗКА,ШПАКЛЕВАНИЕ,ПРОМАЗКА",8
Подложки,ПОДЛОЖКИ,ПОДЛОЖКА,190
Кладочные и монтажные смеси,КЛАДОЧНЫЕ И МОНТАЖНЫЕ СМЕСИ,"КЛЕЙ ДЛЯ БЛОКОВ,МОНТАЖНАЯ СМЕСЬ,МОНТАЖНЫЙ СОСТАВ,БЛОЧНЫЙ КЛЕЙ,ГИПСОБЕТОН,КЛАДОЧНАЯ СМЕСЬ,КЛАДОЧНЫЙ РАСТВОР,КЛАДОЧНЫЙ СОСТАВ",1
головка для пожарного рукава,ГОЛОВКА ДЛЯ ПОЖАРНОГО РУКАВА,,3
Гильза сетчатая,ГИЛЬЗА СЕТЧАТАЯ,"ДЛЯ ПУСТОТЕЛЫХ ОСНОВАНИЙ,ГИЛЬЗА ДЛЯ ХИМИЧЕСКОГО АНКЕРА,ГИЛЬЗА ДЛЯ ИНЖЕКЦИОННОЙ МАССЫ",2
Пневмозаклепочники,ПНЕВМОЗАКЛЕПОЧНИКИ,,3
Шумопоглощающие плиты,ШУМОПОГЛОЩАЮЩИЕ ПЛИТЫ,"АКУСТИЧЕСКАЯ ПЛИТА,ШУМОИЗОЛЯЦИЯ,ЗВУКОИЗОЛЯЦИЯ",2
Блоки укреплений,БЛОКИ УКРЕПЛЕНИЙ,,2
Корнеудалители,КОРНЕУДАЛИТЕЛИ,,1
Панели потолочные,ПАНЕЛИ ПОТОЛОЧНЫЕ,"ШАШКИ,ПОТОЛОК,ПАНЕЛЬ ДЛЯ ПОТОЛКА,ПОДВЕСНОЙ ПОТОЛОК,ПЕЧЕНЮШКА,ПАНЕЛЬ ПВХ",4
Керамогранит,КЕРАМОГРАНИТ,"ЕРАМОГРАНИТ,RTHFVJUHFYBN,КЕРАМОГРАНИТ",64
Вагонка,ВАГОНКА,"ППИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛЫ,ПИЛОМАТЕРИАЛ ОБРЕЗНОЙ,ПИЛОМАТЕРИАЛ,ДЕРЕВО И ПИЛОМАТЕРИАЛЫ,DFUJYRF,ВАГОНКА",30
Стальные отводы,СТАЛЬНЫЕ ОТВОДЫ,"УГОЛ,КОЛЕНО,УГОЛЬНИК",7
кабель для отдельных приборов,КАБЕЛЬ ДЛЯ ОТДЕЛЬНЫХ ПРИБОРОВ,,10
Шпаклевки,ШПАКЛЕВКА,"ШПАТЛЕВАНИЕ,ШПАКЛЕВАНИЕ,ПРОМАЗКА,IGFNKTDRF,ЗАМАЗКА,IGFRKTDRF,ШПАТЛЕВКА",7
Анкер забивной,АНКЕР ЗАБИВНОЙ,ЗАБИВАЕМЫЙ,38
"Тройники, переходники","ТРОЙНИКИ, ПЕРЕХОДНИКИ","ТРОЙНИК ЭЛЕКТРИЧЕСКИЙ,ТРОЙНИК УДЛИНИТЕЛЬ,ТРОЙНИК,СЕТЕВОЙ ПЕРЕХОДНИК,РАЗВЕТВИТЕЛЬ,ПЕРЕХОДНИК",8
Крепление для расширительного бака,КРЕПЛЕНИЕ ДЛЯ РАСШИРИТЕЛЬНОГО БАКА,КРЕПЛЕНИЕ,4
Долота,ДОЛОТО,,12
набор экстракторов для извлечения шурупов,НАБОР ЭКСТРАКТОРОВ ДЛЯ ИЗВЛЕЧЕНИЯ ШУРУПОВ,"ОБРАТНОЕ СВЕРЛО,ЛЕВОЕ СВЕРЛО,ДЛЯ УДАЛЕНИЯ ВИНТОВ,ДЛЯ САМОРЕЗОВ,ДЛЯ БОЛТОВ",1
Термостат,ТЕРМОСТАТ,,18
Батарейки,БАТАРЕЙКА,"ЭЛЕМЕНТ ПИТАНИЯ,БАТАРЕЯ ПИТАНИЯ",85
пневмовинтоверт,ПНЕВМОВИНТОВЕРТ,ВИНТОВЕРТ ПНЕВМАТИЧЕСКИЙ,3
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,БОЛГАРКА,KTRNHJBYCNHEVTYNS,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА",3
Опрыскиватели,ОПРЫСКИВАТЕЛИ,"ПУЛЕВЕРИЗАТОР,РАСПЫЛИТЕЛЬ",7
Крепеж для ПГП,КРЕПЕЖ ДЛЯ ПГП,"ПГП,КРЕПЕЖ ДЛЯ ПГП,БЛОК ПАЗОГРЕБНЕВЫЙ",2
Фены строительные,ФЕНЫ СТРОИТЕЛЬНЫЕ,"KTRNHJBYCNHEVTYNS,ТЕРМОПИСТОЛЕТ,ПРОМЫШЛЕННЫЙ ФЕН,ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,KTRNHJBYCNHEVTYN,NTHVJGBCNJKTN",1
Баллоны с газом,БАЛЛОНЫ С ГАЗОМ,"БАЛЛОН ПРОПАН,БАЛЛОН БЫТОВОЙ",5
Полипропиленовая ревизия,ПОЛИПРОПИЛЕНОВАЯ РЕВИЗИЯ,,20
Комплектующие к вентиляции,КОМПЛЕКТУЮЩИЕ К ВЕНТИЛЯЦИИ,"ВЕНТИЛЯЦИОННЫЙ,КОМПЛЕКТ ВОЗДУХОВОДА,КОМПЛЕКТ ВЕНТИЛЯЦИИ,ВЕНТИЛЯЦИЯ",3
Масла компрессорные,МАСЛА КОМПРЕССОРНЫЕ,,4
Ленты мерные,ЛЕНТА МЕРНАЯ,,49
набор экстракторов для извлечения шурупов,НАБОР ЭКСТРАКТОРОВ ДЛЯ ИЗВЛЕЧЕНИЯ ШУРУПОВ,"ДЛЯ БОЛТОВ,ОБРАТНОЕ СВЕРЛО,ЛЕВОЕ СВЕРЛО,ДЛЯ САМОРЕЗОВ,ДЛЯ УДАЛЕНИЯ ВИНТОВ",1
Мембраны,МЕМБРАНЫ,"КРОВЕЛЬНАЯ,ГИДРОИЗОЛЯЦИЯ,ПАРОИЗОЛЯЦИЯ,ВЕТРОЗАЩИТА,ПЛЕНКА,СТРОИТЕЛЬНАЯ",11
Перегородки для кабель-канала,ПЕРЕГОРОДКА ДЛЯ КАБЕЛЬ-КАНАЛА,,1
Профнастил,ПРОФНАСТИЛ,"ПРОФИЛИРОВАННЫЙ НАСТИЛ,ПРОФЛИСТ,ПРОФНОСТИЛ,ПРОФИЛИРОВАННЫЙ ЛИСТ,ЗАБОР",14
ящик металлический,ЯЩИК МЕТАЛЛИЧЕСКИЙ,,2
Мраморная крошка,МРАМОРНАЯ КРОШКА,"СОЛЬ,ДЛЯ ЛЬДА,ГАЛИТ,АНТИЛЕД,АНТИГОЛОЛЕДНЫЙ,ДОРОЖНАЯ,ДОРОЖНЫЙ,ПРОТИВОГОЛОЛЕДНЫЙ,РЕАГЕНТ",1
Опора мебельная,ОПОРА МЕБЕЛЬНАЯ,,9
основа пристенной перфорированной полки,ОСНОВА ПРИСТЕННОЙ ПЕРФОРИРОВАННОЙ ПОЛКИ,,2
извещатель пожарный,ИЗВЕЩАТЕЛЬ ПОЖАРНЫЙ,,2
адаптер для алмазных коронок,АДАПТЕР ДЛЯ АЛМАЗНЫХ КОРОНОК,,2
Коробки,КОРОБКИ,,5
Планка для фасадного шва,ПЛАНКА ДЛЯ ФАСАДНОГО ШВА,,11
Болгарки (УШМ),ШЛИФМАШИНА УГЛОВАЯ ЭЛЕКТРИЧЕСКАЯ,"ЭЛЕКТРОИНСТРУМЕНТЫ,БОЛГАРКА,ЭЛЕКТРОИНСТРУМЕНТ,УГЛОШЛИФОВАЛЬНАЯ МАШИНА,УГЛОВАЯ ШЛИФОВАЛЬНАЯ МАШИНА,KTRNHJBYCNHEVTYNS",3
Полоса,ПОЛОСА,"ПОЛОСА,ПОЛОСА МЕТАЛЛ,МЕТАЛЛ ПОЛОСА,ПЕРЕМЫЧКА,МЕТАЛОПРОКАТ,МЕТАЛЛОПРОКАТ,МЕТАЛЛИЧЕСКАЯ ПОЛОСА,VTNFKKJGHJRFN",1
Нивелиры лазерные,НИВЕЛИРЫ ЛАЗЕРНЫЕ,"ЛАЗЕРНЫЙ УКЛОНОМЕР,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN,ЭЛЕКТРОИНСТРУМЕНТЫ,ЭЛЕКТРОИНСТРУМЕНТ,ЛАЗЕРНЫЙ УРОВЕНЬ,KFPTHYSQ EHJDTYM",2
Перфораторы,ЭЛЕКТРИЧЕСКИЙ ПЕРФОРАТОР,"ЭЛЕКТРОИНСТРУМЕНТ,ЭЛЕКТРОИНСТРУМЕНТЫ,ПЕРФОРАТОР,KTRNHJBYCNHEVTYNS,KTRNHJBYCNHEVTYN",2
Проволока,ПРОВОЛОКА,"МЕТАЛЛОПРОКАТ,ПРОВОЛКА,МЕТАЛОПРОКАТ,VTNFKKJGHJRFN,GHJDJKJRF,GHJDJKRF",1
переход с пп на чугун сталь,ПЕРЕХОД С ПП НА ЧУГУН СТАЛЬ,,1
Газораспределительный шкаф,ГАЗОРАСПРЕДЕЛИТЕЛЬНЫЙ ШКАФ,,14
Минеральная вата,МИНЕРАЛЬНАЯ ВАТА,"МИНВАТА,СТЕКЛОВАТА,СТЕКЛОВОЛОКНИСТЫЙ,ТЕПЛОИЗОЛЯЦИЯ,БАЗАЛЬТОВЫЙ УТЕПЛИТЕЛЬ,МИН ПЛИТА",2
Сигнализация,СИГНАЛИЗАЦИЯ,,1
Тройники для ПНД труб,ТРОЙНИКИ ДЛЯ ПНД ТРУБ,"ПП ТРОЙНИК ДЛЯ ПНД,ПЕРЕХОДНОЙ ПП ТРОЙНИК ДЛЯ ПНД,ПОЛИПРОПИЛЕНОВЫЙ ТРОЙНИК,ТРОЙНИК КОМПРЕССИОННЫЙ",5
насадка на кран светодиодная,НАСАДКА НА КРАН СВЕТОДИОДНАЯ,,1
Лист металлический,ЛИСТ МЕТАЛЛИЧЕСКИЙ,"ЛИСТ МЕТАЛЛИЧЕСКИЙ,ЛИСТ МЕТАЛ,МЕТАЛОПРОКАТ,ЛИСТ СТАЛЬНОЙ,МЕТАЛЛОПРОКАТ,VTNFKKJGHJRFN",1
Плиточные клеи,КЛЕЙ ПЛИТОЧНЫЙ,"RKTQ LKZ GKBNRB,RKTQ GKBNJXYSQ,ПЛИТКА КЛЕЙ,КЛЕЙ ДЛЯ ПЛИТКИ",8
ламеледержатель,ЛАМЕЛЕДЕРЖАТЕЛЬ,,1
Панель стеновая,ПАНЕЛЬ СТЕНОВАЯ,"ПАНЕЛЬ П-25,СТЕНОВАЯ ПАНЕЛЬ,П25,ПЛАСТИКОВАЯ ПАНЕЛЬ,П-25",2
